column,loaded_dtype,unique_values_including_markers,question_mark_count,blank_count,parser_null_count,missing_marker_pct,literal_None_count,min,max
encounter_id,string,101766,0,0,0,0.0,0,,
patient_nbr,string,71518,0,0,0,0.0,0,,
race,str,6,2273,0,0,2.2336,0,,
gender,str,3,0,0,0,0.0,0,,
age,str,10,0,0,0,0.0,0,,
weight,str,10,98569,0,0,96.8585,0,,
admission_type_id,int64,8,0,0,0,0.0,0,1.0,8.0
discharge_disposition_id,int64,26,0,0,0,0.0,0,1.0,28.0
admission_source_id,int64,17,0,0,0,0.0,0,1.0,25.0
time_in_hospital,int64,14,0,0,0,0.0,0,1.0,14.0
payer_code,str,18,40256,0,0,39.5574,0,,
medical_specialty,str,73,49949,0,0,49.0822,0,,
num_lab_procedures,int64,118,0,0,0,0.0,0,1.0,132.0
num_procedures,int64,7,0,0,0,0.0,0,0.0,6.0
num_medications,int64,75,0,0,0,0.0,0,1.0,81.0
number_outpatient,int64,39,0,0,0,0.0,0,0.0,42.0
number_emergency,int64,33,0,0,0,0.0,0,0.0,76.0
number_inpatient,int64,21,0,0,0,0.0,0,0.0,21.0
diag_1,string,717,21,0,0,0.0206,0,,
diag_2,string,749,358,0,0,0.3518,0,,
diag_3,string,790,1423,0,0,1.3983,0,,
number_diagnoses,int64,16,0,0,0,0.0,0,1.0,16.0
max_glu_serum,str,4,0,0,0,0.0,96420,,
A1Cresult,str,4,0,0,0,0.0,84748,,
metformin,str,4,0,0,0,0.0,0,,
repaglinide,str,4,0,0,0,0.0,0,,
nateglinide,str,4,0,0,0,0.0,0,,
chlorpropamide,str,4,0,0,0,0.0,0,,
glimepiride,str,4,0,0,0,0.0,0,,
acetohexamide,str,2,0,0,0,0.0,0,,
glipizide,str,4,0,0,0,0.0,0,,
glyburide,str,4,0,0,0,0.0,0,,
tolbutamide,str,2,0,0,0,0.0,0,,
pioglitazone,str,4,0,0,0,0.0,0,,
rosiglitazone,str,4,0,0,0,0.0,0,,
acarbose,str,4,0,0,0,0.0,0,,
miglitol,str,4,0,0,0,0.0,0,,
troglitazone,str,2,0,0,0,0.0,0,,
tolazamide,str,3,0,0,0,0.0,0,,
examide,str,1,0,0,0,0.0,0,,
citoglipton,str,1,0,0,0,0.0,0,,
insulin,str,4,0,0,0,0.0,0,,
glyburide-metformin,str,4,0,0,0,0.0,0,,
glipizide-metformin,str,2,0,0,0,0.0,0,,
glimepiride-pioglitazone,str,2,0,0,0,0.0,0,,
metformin-rosiglitazone,str,2,0,0,0,0.0,0,,
metformin-pioglitazone,str,2,0,0,0,0.0,0,,
change,str,2,0,0,0,0.0,0,,
diabetesMed,str,2,0,0,0,0.0,0,,
readmitted,str,3,0,0,0,0.0,0,,
