feature,level,encounters,patients,positives,negatives,rate,cluster_se,ci_low,ci_high,sparse
diag_1,250,8043,6610,1040,7003,0.12930498570185253,0.005135307639142993,0.11923996767959885,0.1393700037241062,False
diag_1,428,6046,4922,865,5181,0.143069798213695,0.004734928849646793,0.13378950819902763,0.15235008822836238,False
diag_1,414,5661,5178,510,5151,0.09009009009009009,0.003902816439983257,0.08244071042945207,0.0977394697507281,False
diag_1,786,3673,3480,251,3422,0.06833650966512388,0.00431058734689833,0.059887913712989085,0.07678510561725867,False
diag_1,486,3153,2985,291,2862,0.0922930542340628,0.005222897753156352,0.08205636274294117,0.10252974572518442,False
diag_1,410,2769,2664,314,2455,0.11339833875045142,0.006066343179376582,0.10150852460101312,0.12528815289988973,False
diag_1,427,2491,2340,231,2260,0.09273384183059012,0.005995487276621115,0.08098290269864461,0.10448478096253563,False
diag_1,491,2111,1704,269,1842,0.12742775935575557,0.008533102506484914,0.11070318576665668,0.14415233294485447,False
diag_1,715,1931,1862,177,1754,0.09166235111341274,0.006620926918212763,0.07868557280944397,0.10463912941738152,False
diag_1,682,1888,1742,168,1720,0.08898305084745763,0.006508537018936208,0.07622655269829698,0.10173954899661827,False
diag_1,780,1815,1746,159,1656,0.08760330578512397,0.006753822878525327,0.0743660561852517,0.10084055538499624,False
diag_1,996,1760,1557,239,1521,0.13579545454545455,0.008561402094757874,0.11901541478256335,0.15257549430834574,False
diag_1,276,1708,1636,233,1475,0.1364168618266979,0.008462765152238151,0.11983014691869051,0.1530035767347053,False
diag_1,434,1691,1640,265,1426,0.15671200473092844,0.0089259814602117,0.13921740254224127,0.17420660691961562,False
diag_1,599,1467,1371,156,1311,0.10633946830265849,0.00811043985350004,0.0904432982910201,0.12223563831429687,False
diag_1,38,1392,1326,176,1216,0.12643678160919541,0.009157763082736711,0.10848789578808096,0.14438566743030987,False
diag_1,584,1366,1297,191,1175,0.1398243045387994,0.009461690693727745,0.12127973154623523,0.15836887753136358,False
diag_1,493,1008,857,92,916,0.09126984126984126,0.00894879068707837,0.07373053381798023,0.1088091487217023,False
diag_1,577,976,779,131,845,0.13422131147540983,0.013799302264474133,0.10717517602525853,0.16126744692556114,False
diag_1,V57,973,953,79,894,0.08119218910585817,0.008739023860091623,0.06406401708004239,0.09832036113167394,False
diag_1,820,957,944,149,808,0.15569487983281086,0.011813422555775098,0.13254099708933856,0.17884876257628315,False
diag_1,435,945,919,70,875,0.07407407407407407,0.008454772601506642,0.05750302427764504,0.09064512387050311,False
diag_1,562,932,864,82,850,0.08798283261802575,0.009177811217341262,0.06999465317512918,0.10597101206092233,False
