code,description,encounters,positives,decision
1,Discharged to home,60234,5602,eligible
2,Discharged/transferred to another short term hospital,2128,342,inpatient_transfer
3,Discharged/transferred to SNF,13954,2046,eligible
4,Discharged/transferred to ICF,815,104,eligible
5,Discharged/transferred to another type of inpatient care institution,1184,247,inpatient_transfer
6,Discharged/transferred to home with home health service,12902,1638,eligible
7,Left AMA,623,90,eligible
8,Discharged/transferred to home under care of Home IV provider,108,15,eligible
9,Admitted as an inpatient to this hospital,21,9,discharge_not_confirmed
10,Neonate discharged to another hospital for neonatal aftercare,6,0,inpatient_transfer
11,Expired,1642,0,death
12,Still patient or expected to return for outpatient services,3,2,discharge_not_confirmed
13,Hospice / home,399,19,hospice
14,Hospice / medical facility,372,24,hospice
15,Discharged/transferred within this institution to Medicare approved swing bed,63,28,discharge_not_confirmed
16,Discharged/transferred/referred another institution for outpatient services,11,0,eligible
17,Discharged/transferred/referred to this institution for outpatient services,14,0,eligible
18,NULL,3691,459,unknown_destination
19,"Expired at home. Medicaid only, hospice.",8,0,death
20,"Expired in a medical facility. Medicaid only, hospice.",2,0,death
21,"Expired, place unknown. Medicaid only, hospice.",0,0,death
22,Discharged/transferred to another rehab fac including rehab units of a hospital .,1993,552,eligible
23,Discharged/transferred to a long term care hospital.,412,30,inpatient_transfer
24,Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare.,48,7,eligible
25,Not Mapped,989,92,unknown_destination
26,Unknown/Invalid,0,0,unknown_destination
27,Discharged/transferred to a federal health care facility.,5,0,inpatient_transfer
28,Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital,139,51,inpatient_transfer
29,Discharged/transferred to a Critical Access Hospital (CAH).,0,0,inpatient_transfer
30,Discharged/transferred to another Type of Health Care Institution not Defined Elsewhere,0,0,unknown_destination
