feature,level,encounters,patients,positives,negatives,rate,cluster_se,ci_low,ci_high,sparse
number_inpatient,0,60475,57146,5044,55431,0.0834063662670525,0.001125080149109749,0.08120124969507644,0.08561148283902856,False
number_inpatient,1,17344,15932,2207,15137,0.12724861623616235,0.002533082055896774,0.12228386663672,0.1322133658356047,False
number_inpatient,2,6672,5991,1176,5496,0.17625899280575538,0.004677862188335499,0.1670905513919761,0.18542743421953467,False
number_inpatient,3+,6211,3285,1627,4584,0.26195459668330384,0.007105687594406017,0.24802770491287499,0.27588148845373267,False
number_emergency,0,80198,60608,8292,71906,0.10339409960348138,0.0011868103337971585,0.10106799409275899,0.10572020511420377,False
number_emergency,1,7078,5270,1021,6057,0.1442497880757276,0.004832240803031537,0.13477877013716089,0.15372080601429433,False
number_emergency,2,1851,1360,341,1510,0.1842247433819557,0.010535932698137112,0.16357469475006906,0.20487479201384237,False
number_emergency,3+,1575,775,400,1175,0.25396825396825395,0.014797355315420658,0.22496597048358713,0.2829705374529208,False
number_outpatient,0,75295,56802,7966,67329,0.10579719768908959,0.0012692682497681322,0.10330947763282386,0.10828491774535531,False
number_outpatient,1,7855,6036,1078,6777,0.1372374283895608,0.004540998591626359,0.128337234696126,0.14613762208299558,False
number_outpatient,2,3305,2647,453,2852,0.13706505295007565,0.006841703410331915,0.12365556067292023,0.15047454522723105,False
number_outpatient,3+,4247,3036,557,3690,0.13115140098893335,0.005841667853530572,0.11970194238636803,0.14260085959149868,False
time_in_hospital,1–2 days,28334,24562,2574,25760,0.09084492129596951,0.00189564157815601,0.08712953207518706,0.09456031051675196,False
time_in_hospital,3–4 days,28754,24723,3190,25564,0.11094108645753634,0.0019917517075504275,0.10703732484459134,0.11484484807048133,False
time_in_hospital,5–7 days,20714,18035,2556,18158,0.12339480544559235,0.0024081534233487746,0.11867491146658192,0.1281146994246028,False
time_in_hospital,8–14 days,12900,11434,1734,11166,0.1344186046511628,0.0031310647041525794,0.12828183059775916,0.1405553787045664,False
num_medications,10–19,48116,38176,5329,42787,0.11075317981544601,0.001585616356469704,0.10764542886346777,0.11386093076742425,False
num_medications,1–9,18236,16388,1570,16666,0.08609344154419829,0.0023175846006611867,0.08155105919577772,0.09063582389261886,False
num_medications,20–29,19142,16074,2489,16653,0.130028210218368,0.0025834233328759742,0.12496479352911066,0.13509162690762533,False
num_medications,30+,5208,4864,666,4542,0.12788018433179724,0.004770580349587188,0.11853001866125185,0.13723035000234263,False
num_lab_procedures,1–20,13332,11761,1306,12026,0.09795979597959796,0.00279221006620474,0.09248716481256647,0.10343242714662945,False
num_lab_procedures,21–40,24845,21499,2572,22273,0.10352183537935199,0.0020417421208080325,0.09952009435684982,0.10752357640185416,False
num_lab_procedures,41–60,35394,29072,4108,31286,0.11606486975193536,0.001873046711185046,0.11239376565665148,0.11973597384721925,False
num_lab_procedures,61–80,15497,13778,1852,13645,0.11950700135510099,0.0027027755019929578,0.11420965871289764,0.12480434399730435,False
num_lab_procedures,81+,1634,1601,216,1418,0.13219094247246022,0.00844075028597067,0.11564737590946154,0.14873450903545887,False
