feature,level,encounters,patients,positives,negatives,rate,cluster_se,ci_low,ci_high,sparse
weight,Observed,3013,2713,335,2678,0.11118486558247594,0.005914256966467971,0.0995931349328836,0.12277659623206827,False
weight,Unknown,87689,62363,9719,77970,0.11083488236837004,0.0012665210366779843,0.10835254675081886,0.11331721798592122,False
medical_specialty,Observed,46908,35562,5007,41901,0.10674085443847531,0.0016873185460676132,0.10343377085773629,0.11004793801921432,False
medical_specialty,Unknown,43794,32145,5047,38747,0.11524409736493584,0.0017750519151720685,0.11176505954050973,0.11872313518936194,False
payer_code,Observed,57612,39338,6364,51248,0.11046309796570158,0.0016172457957166506,0.10729335445194813,0.11363284147945504,False
payer_code,Unknown,33090,26718,3690,29400,0.1115140525838622,0.0018958908156504783,0.107798174866567,0.1152299303011574,False
admission_type_id,Observed,82031,58765,9109,72922,0.11104338603698602,0.0013158089722581916,0.1084644478408253,0.11362232423314673,False
admission_type_id,Unknown,8671,6989,945,7726,0.1089839695536847,0.0035550528836085313,0.10201619393867671,0.11595174516869268,False
admission_source_id,Observed,84553,60442,9412,75141,0.11131479663642922,0.0012922790458852172,0.10878197624851842,0.11384761702434003,False
admission_source_id,Unknown,6149,4722,642,5507,0.10440722068629045,0.004300548039635934,0.0959783014148197,0.1128361399577612,False
race,Observed,88617,63324,9888,78729,0.11158129929923152,0.0012597811884017245,0.10911217354156308,0.11405042505689997,False
race,Unknown,2085,1828,166,1919,0.07961630695443644,0.0063331179187037364,0.06720362392393187,0.09202898998494102,False
diag_3,Observed,89395,64053,9971,79424,0.11153867665976844,0.0012365610711243381,0.10911506149568047,0.11396229182385641,False
diag_3,Unknown,1307,1247,83,1224,0.06350420811017597,0.010620825889497356,0.042687771880690575,0.08432064433966137,False
diag_2,Observed,90368,64799,10028,80340,0.11096848441926345,0.0012386322542203244,0.10854080981090196,0.11339615902762494,False
diag_2,Unknown,334,327,26,308,0.07784431137724551,0.015447990185707448,0.0475668069797307,0.10812181577476032,False
diag_1,Observed,90687,65037,10050,80637,0.11082073505574118,0.0012403033641398642,0.10838978513212318,0.11325168497935918,False
diag_1,Unknown,15,15,4,11,0.26666666666666666,,,,True
gender,Observed,90699,65041,10054,80645,0.11085017475385617,0.0012402616476174476,0.10841930659311966,0.11328104291459268,False
gender,Unknown,3,3,0,3,0.0,,,,True
