feature,target,n,mean,median,p25,p75,p95,max
time_in_hospital,0,80648,4.280304533280429,4.0,2.0,6.0,10.0,14
time_in_hospital,1,10054,4.707181221404416,4.0,2.0,6.0,11.0,14
num_lab_procedures,0,80648,42.662595476639225,44.0,31.0,57.0,73.0,129
num_lab_procedures,1,10054,44.26208474239109,45.0,33.0,58.0,74.0,132
num_procedures,0,80648,1.3333994643388554,1.0,0.0,2.0,5.0,6
num_procedures,1,10054,1.286652078774617,1.0,0.0,2.0,5.0,6
num_medications,0,80648,15.838904870548557,15.0,10.0,20.0,30.0,79
num_medications,1,10054,16.950069624030238,16.0,11.0,21.0,31.0,81
number_diagnoses,0,80648,7.385031246900109,8.0,6.0,9.0,9.0,16
number_diagnoses,1,10054,7.723393674159539,9.0,7.0,9.0,9.0,16
number_inpatient,0,80648,0.5563064180140859,0.0,0.0,1.0,3.0,19
number_inpatient,1,10054,1.243684105828526,0.0,0.0,2.0,5.0,21
number_emergency,0,80648,0.18523707965479616,0.0,0.0,0.0,1.0,76
number_emergency,1,10054,0.3813407598965586,0.0,0.0,0.0,2.0,64
number_outpatient,0,80648,0.37292927288959427,0.0,0.0,0.0,2.0,42
number_outpatient,1,10054,0.4558384722498508,0.0,0.0,0.0,3.0,40
