variable,raw_question_marks,raw_unknown_pct,cohort_unknown_count,cohort_unknown_pct,treatment
weight,98569,96.85847925633315,87689,96.67813278648761,"Exclude from first modeling pass; retain for sensitivity, no imputation."
medical_specialty,49949,49.08220820313268,43794,48.28338956142091,Explicit Unknown; retain for ablation; monitor care-access proxies.
payer_code,40256,39.5574160328597,33090,36.48210623801019,Explicit Unknown; retain for ablation; monitor care-access proxies.
admission_type_id,0,10.21559263408211,8671,9.559877400718838,"Keep source categories/counts; verify runtime cutoff, no scaling yet."
admission_source_id,0,6.944362557239156,6149,6.7793433441379465,"Keep source categories/counts; verify runtime cutoff, no scaling yet."
race,2273,2.2335554114340743,2085,2.298736521796653,Keep source categories/Unknown; subgroup audits; no causal inference.
diag_3,1423,1.398305917497003,1307,1.440982558267734,"Preserve strings/Unknown; verify cutoff, then test broad grouping."
diag_2,358,0.3517874339170253,334,0.3682388480959626,"Preserve strings/Unknown; verify cutoff, then test broad grouping."
diag_1,21,0.02063557573256294,15,0.016537672818680956,"Preserve strings/Unknown; verify cutoff, then test broad grouping."
gender,0,0.002947939390366134,3,0.003307534563736191,Keep source categories/Unknown; subgroup audits; no causal inference.
