name,family,variant,role,average_precision,roc_auc,recall,precision,f1,specificity,brier,tn,fp,fn,tp,threshold,mean_probability,prevalence,predicted_positive_fraction,fit_predict_seconds,encoded_features,class_weight,ap_ci_low,ap_ci_high
histogram_boosting,boosting,primary,primary,0.2021801225434687,0.6623118580032044,0.004669779853235491,0.5384615384615384,0.009259259259259259,0.9995037631296005,0.09449675462432974,12085,6,1492,7,0.5,0.10916486147204699,0.11030169242089771,0.0009565857247976453,0.8591274589998648,14,,0.18468272998025972,0.2198890653784593
logistic_diagnosis_raw,logistic,diagnosis_raw,sensitivity,0.1983183845926573,0.656738545240289,0.009339559706470981,0.4117647058823529,0.0182648401826484,0.9983458770986684,0.09491620594689633,12071,20,1485,14,0.5,0.10879926376441464,0.11030169242089771,0.002501839587932303,0.5523190829990199,382,,0.18142366376052332,0.21513858308621872
random_forest,forest,primary,primary,0.19747097952935086,0.6582441391606204,0.0,0.0,0.0,1.0,0.09466508172273327,12091,0,1499,0,0.5,0.109859034116647,0.11030169242089771,0.0,4.210787416996027,81,,0.18054281707793854,0.2180264099624924
logistic_raw_utilization,logistic,raw_utilization,ablation,0.19641025938850834,0.6530371831710485,0.0066711140760507,0.3125,0.013063357282821686,0.9981804648085353,0.09508284158056661,12069,22,1489,10,0.5,0.10906926537419412,0.11030169242089771,0.00235467255334805,0.35753879199910443,77,,0.1785512335371503,0.21594783274345422
logistic_diagnosis_groups,logistic,diagnosis_groups,sensitivity,0.1959742582355776,0.6583412457752416,0.004002668445630421,0.3,0.007899934167215274,0.9988421139690679,0.09491534931546093,12077,14,1493,6,0.5,0.109184618025811,0.11030169242089771,0.0014716703458425313,0.9294324170041364,118,,0.17944839062688617,0.21507495973536944
logistic_encounter_summaries,logistic,encounter_summaries,sensitivity,0.19468968330019312,0.6533539659141437,0.004669779853235491,0.35,0.009216589861751152,0.9989248201141345,0.09501167576046328,12078,13,1492,7,0.5,0.1089303093188469,0.11030169242089771,0.0014716703458425313,0.9526115420012502,135,,0.17808957702729014,0.21413508646359658
logistic,logistic,primary,primary,0.19428277333540891,0.6525094418251101,0.004002668445630421,0.46153846153846156,0.007936507936507936,0.999421056984534,0.0950730537312215,12084,7,1493,6,0.5,0.10906402612168115,0.11030169242089771,0.0009565857247976453,0.42149154199432814,81,,0.17768919505056988,0.21311993383850455
logistic_balanced,logistic,primary,primary,0.1938724980808526,0.6538441612082357,0.5316877918612408,0.17206390328151985,0.2599902136682434,0.6828219336696717,0.2258349463161176,8256,3835,702,797,0.5,0.46528389891234373,0.11030169242089771,0.3408388520971302,0.5140366249979706,81,balanced,0.17708676767509923,0.21265024882439054
logistic_no_disposition,logistic,no_disposition,ablation,0.17999460238993262,0.6308884885570614,0.0020013342228152103,0.2727272727272727,0.003973509933774834,0.9993383508394674,0.09580918155753067,12083,8,1496,3,0.5,0.10926748200333788,0.11030169242089771,0.0008094186902133922,0.3638395000016317,71,,0.16477681361896815,0.19840605288558594
logistic_no_utilization,logistic,no_utilization,ablation,0.15492312089264804,0.5929627277777719,0.0,0.0,0.0,1.0,0.0968734445044948,12091,0,1499,0,0.5,0.11041812519594923,0.11030169242089771,0.0,0.3643417080020299,74,,0.14281509868822329,0.16889830326217053
naive_prevalence,dummy,primary,baseline,0.11030169242089771,0.5,0.0,0.0,0.0,1.0,0.0981360302256461,12091,0,1499,0,0.5,0.11119676541384134,0.11030169242089771,0.0,0.35581933399953414,81,,0.10506411217759573,0.11570293751279867
