model,bin,encounters,mean_probability,observed_rate,positives
histogram_boosting,"(0.0133, 0.0546]",1359,0.044045815320046554,0.041206769683590876,56
histogram_boosting,"(0.0546, 0.0635]",1360,0.05894023441897378,0.0625,85
histogram_boosting,"(0.0635, 0.0721]",1422,0.06797138520036668,0.06469760900140648,92
histogram_boosting,"(0.0721, 0.0788]",1295,0.07500498733442916,0.06486486486486487,84
histogram_boosting,"(0.0788, 0.0926]",1359,0.08525316371200116,0.08830022075055188,120
histogram_boosting,"(0.0926, 0.107]",1359,0.0993822073340509,0.12214863870493009,166
histogram_boosting,"(0.107, 0.125]",1360,0.11658954376521469,0.10955882352941176,149
histogram_boosting,"(0.125, 0.146]",1358,0.13359200546359448,0.1332842415316642,181
histogram_boosting,"(0.146, 0.182]",1359,0.16305930311128483,0.1714495952906549,233
histogram_boosting,"(0.182, 0.553]",1359,0.24816036210617334,0.24503311258278146,333
logistic,"(0.022, 0.0618]",1359,0.05295928905104346,0.046357615894039736,63
logistic,"(0.0618, 0.0688]",1359,0.06564647484871368,0.06696100073583518,91
logistic,"(0.0688, 0.075]",1359,0.07209757721888765,0.054451802796173655,74
logistic,"(0.075, 0.08]",1365,0.07762229364039717,0.0761904761904762,104
logistic,"(0.08, 0.0881]",1354,0.0833912012068852,0.09084194977843427,123
logistic,"(0.0881, 0.101]",1358,0.09449871879400625,0.11119293078055964,151
logistic,"(0.101, 0.117]",1359,0.10925912031883975,0.11846946284032377,161
logistic,"(0.117, 0.139]",1359,0.12641087739714585,0.1456953642384106,198
logistic,"(0.139, 0.183]",1359,0.1578027278125465,0.1582045621780721,215
logistic,"(0.183, 0.877]",1359,0.25098562402105107,0.23473142016188372,319
random_forest,"(0.0369, 0.061]",1359,0.05535817156819133,0.04194260485651214,57
random_forest,"(0.061, 0.0665]",1361,0.06393868775462952,0.0668626010286554,91
random_forest,"(0.0665, 0.0718]",1357,0.06883988633059762,0.06411201179071481,87
random_forest,"(0.0718, 0.0809]",1359,0.07593548768961399,0.06990434142752024,95
random_forest,"(0.0809, 0.0952]",1359,0.08764035424706623,0.09197939661515821,125
random_forest,"(0.0952, 0.11]",1360,0.10283808480954953,0.10294117647058823,140
random_forest,"(0.11, 0.126]",1360,0.11788349824988255,0.11176470588235295,152
random_forest,"(0.126, 0.146]",1357,0.1348946301938566,0.1414885777450258,192
random_forest,"(0.146, 0.18]",1359,0.16284051736684418,0.16850625459896984,229
random_forest,"(0.18, 0.423]",1359,0.22846434162767357,0.24356144223693893,331
logistic_balanced,"(0.091, 0.337]",1360,0.2945691110366043,0.04411764705882353,60
logistic_balanced,"(0.337, 0.364]",1359,0.35140522792222084,0.059602649006622516,81
logistic_balanced,"(0.364, 0.388]",1385,0.3766811370298985,0.06787003610108304,94
logistic_balanced,"(0.388, 0.406]",1334,0.39721866838547076,0.07571214392803598,101
logistic_balanced,"(0.406, 0.432]",1357,0.4177679390443196,0.08327192336035372,113
logistic_balanced,"(0.432, 0.472]",1359,0.4521905029107978,0.11626195732155997,158
logistic_balanced,"(0.472, 0.516]",1359,0.49502123192089753,0.11552612214863871,157
logistic_balanced,"(0.516, 0.565]",1359,0.5381873639929088,0.15084621044885946,205
logistic_balanced,"(0.565, 0.647]",1359,0.6024484019497945,0.15378955114054452,209
logistic_balanced,"(0.647, 0.986]",1359,0.7278480980239107,0.23620309050772628,321
