feature,coefficient
numeric__time_in_hospital,0.03606851909931676
numeric__number_inpatient,0.23720427062697497
numeric__number_emergency,-0.014879435567432982
numeric__number_outpatient,-0.07886508435510835
numeric__total_prior_utilization,0.0781091227324741
numeric__any_prior_inpatient,0.11530214119216359
numeric__any_prior_emergency,0.060954864348279104
numeric__any_prior_outpatient,0.033693439661166016
categorical__age_Invalid,0.0
categorical__age_Not measured,0.0
categorical__age_Other,0.0
categorical__age_Unknown,0.0
categorical__age_[0-10),-0.4005524389765733
categorical__age_[10-20),-0.5244552770829286
categorical__age_[20-30),0.14288447750313302
categorical__age_[30-40),0.07396404227280359
categorical__age_[40-50),-0.07650253087539947
categorical__age_[50-60),-0.1480636196642146
categorical__age_[60-70),0.021864024596338984
categorical__age_[70-80),0.031180064937409484
categorical__age_[80-90),0.031046656247697826
categorical__age_[90-100),-0.13573469492972406
categorical__gender_Female,-0.5015109204182451
categorical__gender_Invalid,0.0
categorical__gender_Male,-0.43856136079489877
categorical__gender_Not measured,0.0
categorical__gender_Other,0.0
categorical__gender_Unknown,-0.04429701475818585
categorical__admission_type_id_1,-0.24316892349584235
categorical__admission_type_id_2,-0.1917671974457317
categorical__admission_type_id_3,-0.2701119805723933
categorical__admission_type_id_Invalid,0.0
categorical__admission_type_id_Not measured,0.0
categorical__admission_type_id_Other,-0.10748315319047311
categorical__admission_type_id_Unknown,-0.17183804126693586
categorical__admission_source_id_1,-0.0019097526103511928
categorical__admission_source_id_2,-0.1729734347546131
categorical__admission_source_id_4,-0.34216115128310953
categorical__admission_source_id_5,-0.385559653478914
categorical__admission_source_id_6,-0.190198277664098
categorical__admission_source_id_7,0.06683407536134983
categorical__admission_source_id_Invalid,0.0
categorical__admission_source_id_Not measured,0.0
categorical__admission_source_id_Other,0.15993033675334384
categorical__admission_source_id_Unknown,-0.11833143829502016
categorical__discharge_disposition_id_1,-0.5376781194722097
categorical__discharge_disposition_id_22,0.8159786235593951
categorical__discharge_disposition_id_3,-0.1054667118191964
categorical__discharge_disposition_id_4,-0.2617177624898012
categorical__discharge_disposition_id_6,-0.339119416521572
categorical__discharge_disposition_id_7,-0.30713273849057243
categorical__discharge_disposition_id_Invalid,0.0
categorical__discharge_disposition_id_Not measured,0.0
categorical__discharge_disposition_id_Other,-0.2492331707373947
categorical__discharge_disposition_id_Unknown,0.0
categorical__medical_specialty_Cardiology,-0.16645731278404804
categorical__medical_specialty_Emergency/Trauma,-0.17005891424741076
categorical__medical_specialty_Family/GeneralPractice,0.08597607692919758
categorical__medical_specialty_Gastroenterology,0.027688043173109474
categorical__medical_specialty_Hematology/Oncology,0.5265041084584349
categorical__medical_specialty_InternalMedicine,0.006164346750348795
categorical__medical_specialty_Invalid,0.0
categorical__medical_specialty_Nephrology,0.33978996141950346
categorical__medical_specialty_Neurology,-0.3206063481165895
categorical__medical_specialty_Not measured,0.0
categorical__medical_specialty_ObstetricsandGynecology,-0.557190034331928
categorical__medical_specialty_Oncology,0.7624227418874902
categorical__medical_specialty_Orthopedics,-0.12718722586371778
categorical__medical_specialty_Orthopedics-Reconstructive,-0.532842150584352
categorical__medical_specialty_Other,-0.016095386751999806
categorical__medical_specialty_Pediatrics,-0.3427460701084069
categorical__medical_specialty_PhysicalMedicineandRehabilitation,-0.02081439939147262
categorical__medical_specialty_Psychiatry,-0.018694552459053368
categorical__medical_specialty_Pulmonology,-0.08234177126775857
categorical__medical_specialty_Radiologist,-0.00848451446065908
categorical__medical_specialty_Surgery-Cardiovascular/Thoracic,-0.3269289292663204
categorical__medical_specialty_Surgery-General,0.041201611989730116
categorical__medical_specialty_Surgery-Neuro,-0.30621448968624976
categorical__medical_specialty_Surgery-Vascular,0.2552641968816017
categorical__medical_specialty_Unknown,0.021610986107845908
categorical__medical_specialty_Urology,-0.054329270248672734
