feature,category,train_count,encoded_as
age,[70-80),16056,[70-80)
age,[60-70),14081,[60-70)
age,[50-60),10805,[50-60)
age,[80-90),10689,[80-90)
age,[40-50),6094,[40-50)
age,[30-40),2486,[30-40)
age,[90-100),1680,[90-100)
age,[20-30),1121,[20-30)
age,[10-20),457,[10-20)
age,[0-10),94,[0-10)
gender,Female,34340,Female
gender,Male,29220,Male
gender,Unknown,3,Unknown
admission_type_id,1,33798,1
admission_type_id,3,12027,3
admission_type_id,2,11761,2
admission_type_id,Unknown,5957,Unknown
admission_type_id,7,13,Other
admission_type_id,4,7,Other
admission_source_id,7,36058,7
admission_source_id,1,18893,1
admission_source_id,Unknown,4157,Unknown
admission_source_id,4,1761,4
admission_source_id,6,1478,6
admission_source_id,2,651,2
admission_source_id,5,471,5
admission_source_id,3,67,Other
admission_source_id,8,9,Other
admission_source_id,22,7,Other
admission_source_id,10,6,Other
admission_source_id,14,2,Other
admission_source_id,11,1,Other
admission_source_id,25,1,Other
admission_source_id,13,1,Other
discharge_disposition_id,1,42185,1
discharge_disposition_id,3,9805,3
discharge_disposition_id,6,8998,6
discharge_disposition_id,22,1420,22
discharge_disposition_id,4,600,4
discharge_disposition_id,7,424,7
discharge_disposition_id,8,74,Other
discharge_disposition_id,24,35,Other
discharge_disposition_id,17,12,Other
discharge_disposition_id,16,10,Other
medical_specialty,Unknown,30688,Unknown
medical_specialty,InternalMedicine,9403,InternalMedicine
medical_specialty,Emergency/Trauma,4965,Emergency/Trauma
medical_specialty,Family/GeneralPractice,4441,Family/GeneralPractice
medical_specialty,Cardiology,3479,Cardiology
medical_specialty,Surgery-General,2040,Surgery-General
medical_specialty,Nephrology,976,Nephrology
medical_specialty,Orthopedics,812,Orthopedics
medical_specialty,Radiologist,762,Radiologist
medical_specialty,Orthopedics-Reconstructive,728,Orthopedics-Reconstructive
medical_specialty,Pulmonology,548,Pulmonology
medical_specialty,Psychiatry,537,Psychiatry
medical_specialty,Urology,454,Urology
medical_specialty,Surgery-Cardiovascular/Thoracic,424,Surgery-Cardiovascular/Thoracic
medical_specialty,ObstetricsandGynecology,417,ObstetricsandGynecology
medical_specialty,Surgery-Vascular,364,Surgery-Vascular
medical_specialty,Gastroenterology,353,Gastroenterology
medical_specialty,Surgery-Neuro,276,Surgery-Neuro
medical_specialty,Oncology,238,Oncology
medical_specialty,PhysicalMedicineandRehabilitation,174,PhysicalMedicineandRehabilitation
medical_specialty,Pediatrics,152,Pediatrics
medical_specialty,Neurology,133,Neurology
