model,bin,encounters,mean_probability,observed_rate,positives
logistic__uncalibrated,"(0.030600000000000002, 0.0658]",1359,0.05761016710473049,0.047829286239882265,65
logistic__uncalibrated,"(0.0658, 0.0731]",1359,0.0699669756031453,0.058130978660779986,79
logistic__uncalibrated,"(0.0731, 0.0792]",1381,0.07626480813345303,0.06299782766111513,87
logistic__uncalibrated,"(0.0792, 0.0844]",1337,0.0818232323180188,0.07180254300673149,96
logistic__uncalibrated,"(0.0844, 0.0903]",1359,0.08700477108780746,0.08609271523178808,117
logistic__uncalibrated,"(0.0903, 0.101]",1361,0.095450643608434,0.11609110947832477,158
logistic__uncalibrated,"(0.101, 0.113]",1357,0.10683437430060011,0.12527634487840825,170
logistic__uncalibrated,"(0.113, 0.131]",1359,0.12166253043131638,0.1390728476821192,189
logistic__uncalibrated,"(0.131, 0.169]",1359,0.1457168510614397,0.15967623252391464,217
logistic__uncalibrated,"(0.169, 0.946]",1359,0.24918202065726316,0.23620309050772628,321
logistic__sigmoid,"(0.031099999999999996, 0.0663]",1359,0.058161051004307796,0.047829286239882265,65
logistic__sigmoid,"(0.0663, 0.0736]",1359,0.07045678881358762,0.058130978660779986,79
logistic__sigmoid,"(0.0736, 0.0796]",1381,0.07670960724009002,0.06299782766111513,87
logistic__sigmoid,"(0.0796, 0.0848]",1337,0.08222274604466441,0.07180254300673149,96
logistic__sigmoid,"(0.0848, 0.0906]",1359,0.08735764201089183,0.08609271523178808,117
logistic__sigmoid,"(0.0906, 0.101]",1361,0.09571899886354868,0.11609110947832477,158
logistic__sigmoid,"(0.101, 0.113]",1357,0.10697537225802768,0.12527634487840825,170
logistic__sigmoid,"(0.113, 0.131]",1359,0.12161599554909203,0.1390728476821192,189
logistic__sigmoid,"(0.131, 0.169]",1359,0.14532347377130556,0.15967623252391464,217
logistic__sigmoid,"(0.169, 0.943]",1359,0.24701349179460685,0.23620309050772628,321
logistic__isotonic,"(-0.001, 0.0543]",2549,0.05208837500962047,0.05296194586112201,135
logistic__isotonic,"(0.0543, 0.0575]",421,0.057135531927381814,0.05938242280285035,25
logistic__isotonic,"(0.0575, 0.0701]",1879,0.06981061872070736,0.06918573709419905,130
logistic__isotonic,"(0.0701, 0.0828]",1214,0.08105866403172154,0.07166392092257001,87
logistic__isotonic,"(0.0828, 0.0992]",1275,0.09205983363092086,0.10431372549019607,133
logistic__isotonic,"(0.0992, 0.101]",876,0.1011459890383657,0.1187214611872146,104
logistic__isotonic,"(0.101, 0.122]",1585,0.12139603716877588,0.11608832807570978,184
logistic__isotonic,"(0.122, 0.15]",1405,0.1400360571475786,0.1594306049822064,224
logistic__isotonic,"(0.15, 0.176]",1039,0.16494973715482547,0.15110683349374399,157
logistic__isotonic,"(0.176, 0.589]",1347,0.24814173642976836,0.23756495916852263,320
boosting__uncalibrated,"(0.0361, 0.0571]",1359,0.05085013465637771,0.03826342899190582,52
boosting__uncalibrated,"(0.0571, 0.0645]",1359,0.0608919799002081,0.058130978660779986,79
boosting__uncalibrated,"(0.0645, 0.0727]",1365,0.06865900989857958,0.07032967032967033,96
boosting__uncalibrated,"(0.0727, 0.0794]",1359,0.07598771454163684,0.07358351729212656,100
boosting__uncalibrated,"(0.0794, 0.0935]",1353,0.08610535677229104,0.08573540280857354,116
boosting__uncalibrated,"(0.0935, 0.107]",1361,0.10012716300002417,0.10947832476120499,149
boosting__uncalibrated,"(0.107, 0.124]",1357,0.11642429589535407,0.12748710390567428,173
boosting__uncalibrated,"(0.124, 0.144]",1360,0.1334888908798319,0.11985294117647059,163
boosting__uncalibrated,"(0.144, 0.18]",1358,0.1611294860891043,0.17304860088365243,235
boosting__uncalibrated,"(0.18, 0.502]",1359,0.24123385253909052,0.24724061810154527,336
boosting__sigmoid,"(0.0334, 0.0545]",1359,0.04817859203331806,0.03826342899190582,52
boosting__sigmoid,"(0.0545, 0.0621]",1359,0.05837655005770495,0.058130978660779986,79
boosting__sigmoid,"(0.0621, 0.0706]",1365,0.06635448338386352,0.07032967032967033,96
boosting__sigmoid,"(0.0706, 0.0775]",1359,0.07393551220568435,0.07358351729212656,100
boosting__sigmoid,"(0.0775, 0.0922]",1353,0.08448443592544126,0.08573540280857354,116
