fold,role,encounters,patients,positives,prevalence,patient_overlap
0,fit,50850,36417,5654,0.1111897738446411,0
0,holdout,12713,9113,1414,0.1112247305907339,0
1,fit,50851,36413,5654,0.11118758726475389,0
1,holdout,12712,9117,1414,0.11123348017621146,0
2,fit,50850,36378,5655,0.1112094395280236,0
2,holdout,12713,9152,1413,0.11114607095099505,0
3,fit,50851,36445,5655,0.11120725256140489,0
3,holdout,12712,9085,1413,0.11115481434864695,0
4,fit,50850,36467,5654,0.1111897738446411,0
4,holdout,12713,9063,1414,0.1112247305907339,0
