family,configuration,fold,average_precision,roc_auc,recall,precision,f1,specificity,brier,tn,fp,fn,tp,threshold,mean_probability,prevalence,predicted_positive_fraction,fit_encounters,holdout_encounters,encoded_features,duration_seconds
logistic,raw,0,0.2095808663526193,0.6434658384984314,0.016973125884016973,0.5714285714285714,0.03296703296703297,0.9984069386671387,0.09516919274095188,11281,18,1390,24,0.5,0.10991157717801779,0.1112247305907339,0.0033037048690316997,50850,12713,76,0.3972304580092896
logistic,raw,1,0.20963160188340643,0.6634532203694536,0.016973125884016973,0.4,0.032564450474898234,0.9968135953266065,0.09531746214517971,11262,36,1390,24,0.5,0.11209460805590757,0.11123348017621146,0.004719949653870359,50851,12712,76,0.41601375000027474
logistic,raw,2,0.22646639740717606,0.6667225948681335,0.021231422505307854,0.6,0.04101161995898838,0.9982300884955753,0.09418445071632849,11280,20,1383,30,0.5,0.11019807985449331,0.11114607095099505,0.003932981986942499,50850,12713,77,0.3515873339929385
logistic,raw,3,0.21034684572906281,0.659147071429766,0.019815994338287332,0.4057971014492754,0.037786774628879895,0.9963713602973715,0.09527797205483281,11258,41,1385,28,0.5,0.1111914931645943,0.11115481434864695,0.005427942101950913,50851,12712,76,0.33524541700899135
logistic,raw,4,0.20493095936758318,0.6561605381708185,0.02545968882602546,0.46153846153846156,0.04825737265415549,0.9962828568899903,0.0956373146098364,11257,42,1378,36,0.5,0.11263898890827301,0.1112247305907339,0.0061354518996303,50850,12713,76,0.35563320900837425
logistic,indicators,0,0.17317669754205095,0.6365556251426288,0.0,0.0,0.0,0.9996459863704753,0.09674148168988407,11295,4,1414,0,0.5,0.11101349720977967,0.1112247305907339,0.0003146385589554,50850,12713,76,0.34288545801246073
logistic,indicators,1,0.18365905674820004,0.6576978301350352,0.0,0.0,0.0,0.9993804213135068,0.09615168332958984,11291,7,1414,0,0.5,0.11146727051538573,0.11123348017621146,0.0005506607929515419,50851,12712,76,0.33167550001235213
logistic,indicators,2,0.1909030161353495,0.6563169118614133,0.0007077140835102619,1.0,0.0014144271570014145,1.0,0.0956041159548868,11300,0,1412,1,0.5,0.11069782616700871,0.11114607095099505,7.865963973885e-05,50850,12713,77,0.33675091699115
logistic,indicators,3,0.18239732821379337,0.6453085646557477,0.0014154281670205238,0.25,0.0028149190710767065,0.9994689795557129,0.09610572720720882,11293,6,1411,2,0.5,0.11025706771330368,0.11115481434864695,0.0006293266205160479,50851,12712,76,0.33912629199039657
logistic,indicators,4,0.18119234222870415,0.6480984348166146,0.0007072135785007072,0.5,0.0014124293785310734,0.9999114965926188,0.09624225102248957,11298,1,1413,1,0.5,0.11223942397184124,0.1112247305907339,0.0001573192794777,50850,12713,76,0.3649317920062458
logistic,raw_engineered,0,0.20687091726132648,0.6444529581857077,0.014144271570014143,0.6666666666666666,0.027700831024930747,0.9991149659261882,0.09527383329282049,11289,10,1394,20,0.5,0.11040200450436058,0.1112247305907339,0.0023597891921655,50850,12713,80,0.39366995899763424
logistic,raw_engineered,1,0.20951608544399775,0.6663034200392955,0.01485148514851485,0.4117647058823529,0.028668941979522185,0.997344662772172,0.09512587064721266,11268,30,1393,21,0.5,0.11215358476402361,0.11123348017621146,0.0040119572057898045,50851,12712,80,0.3958576669974718
logistic,raw_engineered,2,0.2242353034397231,0.667805522675034,0.012738853503184714,0.5454545454545454,0.024896265560165973,0.9986725663716814,0.09414615724254699,11285,15,1395,18,0.5,0.11017766690301939,0.11114607095099505,0.00259576811138205,50850,12713,81,0.3785470409929985
logistic,raw_engineered,3,0.21099249346889215,0.6577585763591176,0.014861995753715499,0.3888888888888889,0.028629856850715747,0.9970793875564209,0.09498951869997788,11266,33,1392,21,0.5,0.11087277781396691,0.11115481434864695,0.004247954688483323,50851,12712,80,0.3771173749992158
logistic,raw_engineered,4,0.20401506276383746,0.6569419844516914,0.016265912305516265,0.39655172413793105,0.03125,0.9969023807416586,0.09550308568825287,11264,35,1391,23,0.5,0.11244474558385109,0.1112247305907339,0.0045622591048533,50850,12713,80,0.3723019169992767
logistic,diagnosis_grouped,0,0.21033728669455143,0.6501012781919967,0.016265912305516265,0.6052631578947368,0.03168044077134986,0.9986724488892822,0.09511930088662433,11284,15,1391,23,0.5,0.10985926041147122,0.1112247305907339,0.0029890663100763,50850,12713,113,0.7726393339980859
logistic,diagnosis_grouped,1,0.21085759896086742,0.6681080415529603,0.016973125884016973,0.41379310344827586,0.03260869565217391,0.9969906178084617,0.09517404302968412,11264,34,1390,24,0.5,0.1119295890086695,0.11123348017621146,0.004562617998741347,50851,12712,113,0.7638738329987973
logistic,diagnosis_grouped,2,0.22554513493875084,0.6698397309433891,0.02264685067232838,0.5818181818181818,0.043596730245231606,0.9979646017699115,0.09417678960772367,11277,23,1381,32,0.5,0.110223579079275,0.11114607095099505,0.00432628018563675,50850,12713,114,0.7901554169948213
logistic,diagnosis_grouped,3,0.20838993096077352,0.6592370467621814,0.01910828025477707,0.421875,0.03656059580230196,0.9967253739268962,0.09531704278915291,11262,37,1386,27,0.5,0.11089798528679425,0.11115481434864695,0.005034612964128383,50851,12712,113,0.7681934169959277
logistic,diagnosis_grouped,4,0.20593574845110796,0.6598563691095318,0.024752475247524754,0.4430379746835443,0.04688546550569324,0.9961058500752279,0.09556202223299114,11255,44,1379,35,0.5,0.11280998702489112,0.1112247305907339,0.00621411153936915,50850,12713,113,0.7665175000001909
logistic,diagnosis_raw,0,0.21776457055953144,0.6540976389118562,0.021923620933521924,0.6739130434782609,0.04246575342465753,0.9986724488892822,0.09477396053599858,11284,15,1383,31,0.5,0.1102180485103143,0.1112247305907339,0.0036183434279870997,50850,12713,343,0.46760945799178444
logistic,diagnosis_raw,1,0.2148673768701314,0.6656526057734368,0.02616690240452617,0.49333333333333335,0.04969778374748153,0.9966365728447513,0.09501133034791742,11260,38,1377,37,0.5,0.11193521206401132,0.11123348017621146,0.005899937067337949,50851,12712,345,0.47413687499647494
logistic,diagnosis_raw,2,0.21868707253629363,0.6583205255873088,0.024062278839348902,0.5964912280701754,0.04625850340136054,0.9979646017699115,0.09456437433726177,11277,23,1379,34,0.5,0.1095635787544456,0.11114607095099505,0.00448359946511445,50850,12713,345,0.4918790420051664
logistic,diagnosis_raw,3,0.21244926991026897,0.6570080511793972,0.024062278839348902,0.4594594594594595,0.04572965702757229,0.9964598637047526,0.09503797749217974,11259,40,1379,34,0.5,0.11044787736574829,0.11115481434864695,0.005821271239773443,50851,12712,341,0.45932304199959617
logistic,diagnosis_raw,4,0.2013706845977858,0.656208639209413,0.02616690240452617,0.43023255813953487,0.04933333333333333,0.995663333038322,0.09588889233880907,11250,49,1377,37,0.5,0.11262904579194674,0.1112247305907339,0.006764729017541099,50850,12713,339,0.47225354200054426
boosting,raw,0,0.21845296820695276,0.6486979921994324,0.009193776520509194,0.7222222222222222,0.018156424581005588,0.9995574829630941,0.09477978172033422,11294,5,1401,13,0.5,0.11041062271409172,0.1112247305907339,0.0014158735152993,50850,12713,10,0.6536170420004055
boosting,raw,1,0.222328191221778,0.6690583480622548,0.010608203677510608,0.5769230769230769,0.020833333333333332,0.9990263763497964,0.09434468704548936,11287,11,1399,15,0.5,0.11177678860757581,0.11123348017621146,0.0020453115166771552,50851,12712,10,0.6869485839997651
boosting,raw,2,0.2230343436222894,0.6675315496433245,0.0021231422505307855,0.3333333333333333,0.004219409282700422,0.9994690265486725,0.09413577675577682,11294,6,1410,3,0.5,0.10978437877053777,0.11114607095099505,0.00070793675764965,50850,12713,10,0.6542547910066787
boosting,raw,3,0.21869540910562119,0.6645090751068226,0.005661712668082095,0.5333333333333333,0.011204481792717087,0.9993804761483317,0.09437381795670151,11292,7,1405,8,0.5,0.11030305220192485,0.11115481434864695,0.0011799874134675898,50851,12712,10,0.6162532079906669
