family,configuration,trial,state,parameters,cv_average_precision_mean,cv_average_precision_sd,cv_roc_auc_mean,cv_roc_auc_sd,cv_brier_mean,cv_brier_sd,cv_recall_mean,cv_recall_sd,cv_precision_mean,cv_precision_sd,cv_f1_mean,cv_f1_sd,cv_ap_min,cv_ap_max,duration_seconds,mlflow_run_id
logistic,raw,0,COMPLETE,"{""C"": 1.0}",0.21219133414796953,0.00826527951599801,0.6577898526673206,0.008965792036456265,0.09511727845342585,0.0005498172942667249,0.02009067148753092,0.0035228287207125534,0.48775282688326166,0.09314712905634322,0.03851745013679099,0.006478159387066,0.20493095936758318,0.22646639740717606,1.784931,f272f482aa394b68a279c938f4178cda
logistic,raw,1,COMPLETE,"{""C"": 0.07459343285726547}",0.21243373866277068,0.0074634471345649605,0.6590708674621679,0.007761520611298767,0.0950940603300888,0.0004946003000365272,0.019099971871618465,0.002827236189268522,0.4965677830940988,0.09240364023234397,0.036708709764934934,0.005115947723127993,0.20518619012302824,0.22509270469224718,1.814534,cc64e2d84952443bb9c1c58291b443eb
logistic,raw,2,COMPLETE,"{""C"": 56.69849511478853}",0.21212173124566785,0.008431978139723524,0.6574505926001479,0.009004692722294995,0.095121217772754,0.0005588103523101241,0.02009067148753092,0.0035228287207125534,0.49180100687489847,0.09523098162727144,0.03852681352578983,0.0064714668972455855,0.20456502178810107,0.22664007839041486,1.742531,3e0144e0a8744dfdb3c8dcb6dd64408b
logistic,raw,3,COMPLETE,"{""C"": 4.570563099801454}",0.21214130383407387,0.008371615527877782,0.6575654177548167,0.008943202809938551,0.09512049463806257,0.000555127312830163,0.02009067148753092,0.0035228287207125534,0.4893520272830617,0.09144132429505175,0.0385212031810622,0.006468755381115171,0.2047416741216904,0.22658458093159903,1.769726,e23daee92c8e41da9d93ce889db942d8
logistic,raw,4,COMPLETE,"{""C"": 0.9846738873614568}",0.21217667723672062,0.008276819882278798,0.6577740569648602,0.008917410235827672,0.09511601452422759,0.0005496001008726774,0.02009067148753092,0.0035228287207125534,0.4929892629210915,0.09999246215710067,0.03852759203244193,0.006476021033480862,0.2048641062061189,0.22645918240536173,1.740924,18a3b1343a92425d9063d72ff5123dc4
logistic,raw,5,COMPLETE,"{""C"": 0.006026889128682512}",0.21063592609623644,0.006391863197698467,0.6585903453549141,0.007265690762089956,0.09520521850511235,0.00040879123295434146,0.017826486925307635,0.002708912980505622,0.5198908281261222,0.11308941719191316,0.0343899964263679,0.004902598358536211,0.20190964415179508,0.21995499398546264,1.596859,126bbab2db69478f90bb5f7ca3ed6804
logistic,raw,6,COMPLETE,"{""C"": 0.0060252157362038605}",0.21063996102121663,0.00639133316108486,0.6585875785342117,0.007263725533748438,0.09520526553634881,0.00040878154902825693,0.017826486925307635,0.002708912980505622,0.5198908281261222,0.11308941719191316,0.0343899964263679,0.004902598358536211,0.201909125923761,0.21995296758775504,1.604729,8ece71cc57a840cf9ab5ee5bffc579a0
logistic,raw,7,COMPLETE,"{""C"": 0.0019517224641449498}",0.20785876000144846,0.006287715798169018,0.6565904996333286,0.007595741506986224,0.0953962406877489,0.0003733656059718854,0.01612857373089447,0.0025170119158144633,0.5440840336134454,0.15125118552060918,0.031235867804514556,0.004564887848869625,0.198315930892155,0.2156816442300972,1.553477,411caeaf2f6a4132b004a267c5c48c32
logistic,raw,8,COMPLETE,"{""C"": 21.42302175774107}",0.2121605129174749,0.008401399883568122,0.6575855534670574,0.009010886727752722,0.09512116675785744,0.0005568971032902461,0.02009067148753092,0.0035228287207125534,0.49180100687489847,0.09523098162727144,0.03852681352578983,0.0064714668972455855,0.20476241649993154,0.22666532951179302,1.731159,146b45bcad154c55a46315f5a10ec036
logistic,raw,9,COMPLETE,"{""C"": 1.0129197956845737}",0.2121887490111391,0.008316357012167892,0.6578157031787452,0.008990785580592292,0.09511607759643077,0.000549011960398661,0.02009067148753092,0.0035228287207125534,0.4902018064750984,0.09692060022077799,0.03852306048151863,0.006480871029834693,0.20484474106558398,0.22654062017877571,1.719036,461fca5262c64b2cbb55c819fe3b425e
