model,group,level,encounters,patients,positives,prevalence,estimates_suppressed,threshold,average_precision,recall,precision,brier,tn,fp,fn,tp,false_negative_rate
logistic__uncalibrated,prior_inpatient,none,9134,8608,779,0.08528574556601708,False,0.1,0.1374221270115084,0.35173299101412064,0.14123711340206185,0.07676211971344353,6689.0,1666.0,505.0,274.0,0.6482670089858793
logistic__uncalibrated,prior_inpatient,any,4456,2801,720,0.1615798922800718,False,0.1,0.2417959019183819,0.8819444444444444,0.1747385800770501,0.1325825794727477,737.0,2999.0,85.0,635.0,0.11805555555555558
logistic__uncalibrated,prior_inpatient,3+,886,472,226,0.255079006772009,False,0.1,0.3270481872466656,1.0,0.255079006772009,0.18921283969273736,0.0,660.0,0.0,226.0,0.0
logistic__uncalibrated,race,AfricanAmerican,2599,1811,254,0.09772989611388996,False,0.1,0.1467986169649111,0.5354330708661418,0.13452027695351138,0.08770107523165527,1470.0,875.0,118.0,136.0,0.4645669291338582
logistic__uncalibrated,race,Asian,100,76,8,0.08,True,0.1,,,,,,,,,
logistic__uncalibrated,race,Caucasian,10062,7227,1154,0.11468892864241702,False,0.1,0.21141333329179637,0.6247833622183708,0.16944770857814337,0.09784444599887893,5374.0,3534.0,433.0,721.0,0.37521663778162917
logistic__uncalibrated,race,Hispanic,320,236,36,0.1125,False,0.1,0.2300621415942336,0.6666666666666666,0.19672131147540983,0.09573131388453551,186.0,98.0,12.0,24.0,0.33333333333333337
logistic__uncalibrated,race,Other,193,161,20,0.10362694300518134,True,0.1,,,,,,,,,
logistic__uncalibrated,race,Unknown,316,275,27,0.08544303797468354,True,0.1,,,,,,,,,
logistic__uncalibrated,gender,Female,7376,5232,816,0.11062906724511931,False,0.1,0.19006853554782172,0.6066176470588235,0.16097560975609757,0.09573110265273406,3980.0,2580.0,321.0,495.0,0.3933823529411765
logistic__uncalibrated,gender,Male,6214,4525,683,0.10991309945284841,False,0.1,0.2065474883666309,0.6061493411420205,0.16566626650660263,0.09427431001393474,3446.0,2085.0,269.0,414.0,0.39385065885797954
logistic__uncalibrated,age,[0-10),30,28,0,0.0,True,0.1,,,,,,,,,
logistic__uncalibrated,age,[10-20),130,88,7,0.05384615384615385,True,0.1,,,,,,,,,
logistic__uncalibrated,age,[20-30),227,170,23,0.1013215859030837,True,0.1,,,,,,,,,
logistic__uncalibrated,age,[30-40),488,389,44,0.09016393442622951,False,0.1,0.21467315615784294,0.6136363636363636,0.18493150684931506,0.07851841324004594,325.0,119.0,17.0,27.0,0.38636363636363635
logistic__uncalibrated,age,[40-50),1374,976,165,0.12008733624454149,False,0.1,0.2608188311289268,0.6,0.24504950495049505,0.1005320658650649,904.0,305.0,66.0,99.0,0.4
logistic__uncalibrated,age,[50-60),2334,1750,223,0.09554413024850043,False,0.1,0.2115450452617598,0.47085201793721976,0.20076481835564053,0.0825734044423699,1693.0,418.0,118.0,105.0,0.5291479820627802
logistic__uncalibrated,age,[60-70),2977,2190,336,0.1128653006382264,False,0.1,0.2253769727196145,0.5982142857142857,0.1717948717948718,0.09571030528794834,1672.0,969.0,135.0,201.0,0.4017857142857143
logistic__uncalibrated,age,[70-80),3412,2506,379,0.11107854630715124,False,0.1,0.17576211645134987,0.6437994722955145,0.1451516954193932,0.096858590724731,1596.0,1437.0,135.0,244.0,0.3562005277044855
logistic__uncalibrated,age,[80-90),2213,1580,275,0.12426570266606417,False,0.1,0.16949394530410233,0.6872727272727273,0.14157303370786517,0.1082026842048686,792.0,1146.0,86.0,189.0,0.31272727272727274
logistic__uncalibrated,age,[90-100),405,288,47,0.11604938271604938,False,0.1,0.13303111068642048,0.5957446808510638,0.12903225806451613,0.10356425649747512,169.0,189.0,19.0,28.0,0.4042553191489362
boosting__uncalibrated,prior_inpatient,none,9134,8608,779,0.08528574556601708,False,0.1,0.14593611622741023,0.3761232349165597,0.14154589371980678,0.07642304252081798,6578.0,1777.0,486.0,293.0,0.6238767650834403
boosting__uncalibrated,prior_inpatient,any,4456,2801,720,0.1615798922800718,False,0.1,0.2414465329291399,0.9611111111111111,0.17048534121704853,0.13187090304206125,369.0,3367.0,28.0,692.0,0.03888888888888886
boosting__uncalibrated,prior_inpatient,3+,886,472,226,0.255079006772009,False,0.1,0.3052607123708102,1.0,0.255079006772009,0.18948300467738668,0.0,660.0,0.0,226.0,0.0
boosting__uncalibrated,race,AfricanAmerican,2599,1811,254,0.09772989611388996,False,0.1,0.15355753434065955,0.5787401574803149,0.12738301559792028,0.0870336780009037,1338.0,1007.0,107.0,147.0,0.42125984251968507
boosting__uncalibrated,race,Asian,100,76,8,0.08,True,0.1,,,,,,,,,
boosting__uncalibrated,race,Caucasian,10062,7227,1154,0.11468892864241702,False,0.1,0.21277152227833973,0.6767764298093587,0.1685732786531405,0.09739547298031487,5056.0,3852.0,373.0,781.0,0.3232235701906413
