model,threshold,recall,precision,f1,specificity,tn,fp,fn,tp,encounters_flagged,encounter_fraction_flagged,patients_flagged,patient_fraction_flagged
logistic__uncalibrated,0.0,1.0,0.11030169242089771,0.19868778580422825,0.0,0,12091,0,1499,13590,1.0,9757,1.0
logistic__uncalibrated,0.01,1.0,0.11030169242089771,0.19868778580422825,0.0,0,12091,0,1499,13590,1.0,9757,1.0
logistic__uncalibrated,0.02,1.0,0.11030169242089771,0.19868778580422825,0.0,0,12091,0,1499,13590,1.0,9757,1.0
logistic__uncalibrated,0.03,1.0,0.11030169242089771,0.19868778580422825,0.0,0,12091,0,1499,13590,1.0,9757,1.0
logistic__uncalibrated,0.04,1.0,0.11048054245283019,0.19897789871905489,0.0018195351914647257,22,12069,0,1499,13568,0.9983811626195732,9737,0.9979501896074613
logistic__uncalibrated,0.05,0.9953302201467645,0.11153472377962174,0.2005915568701264,0.01703746588371516,206,11885,7,1492,13377,0.984326710816777,9577,0.9815517064671518
logistic__uncalibrated,0.06,0.981320880587058,0.11411947245927075,0.2044617416081729,0.055578529484740714,672,11419,28,1471,12890,0.9484915378955114,9157,0.9385056882238393
logistic__uncalibrated,0.07,0.9279519679786524,0.12007941988950276,0.2126423603149125,0.15697626333636588,1898,10193,108,1391,11584,0.8523914643119941,8103,0.8304806805370504
logistic__uncalibrated,0.08,0.8405603735823882,0.1352511807642765,0.23300970873786409,0.33371929534364403,4035,8056,239,1260,9316,0.685504047093451,6373,0.6531720815824537
logistic__uncalibrated,0.09,0.7078052034689793,0.15457459207459207,0.2537366973574076,0.5200562401786453,6288,5803,438,1061,6864,0.5050772626931568,4510,0.46223224351747466
logistic__uncalibrated,0.1,0.6064042695130086,0.16307857911733045,0.2570337904708045,0.6141758332644115,7426,4665,590,909,5574,0.4101545253863135,3608,0.3697857948139797
logistic__uncalibrated,0.11,0.5150100066711141,0.1770236184361385,0.26348122866894197,0.7031676453560499,8502,3589,727,772,4361,0.32089771891096397,2803,0.28728092651429743
logistic__uncalibrated,0.12,0.44229486324216144,0.18755304101838755,0.2634088200238379,0.7624679513687868,9219,2872,836,663,3535,0.2601177336276674,2266,0.2322435174746336
logistic__uncalibrated,0.13,0.3669112741827885,0.19826964671953856,0.25743037678446057,0.8160615333719295,9867,2224,949,550,2774,0.2041206769683591,1770,0.18140821973967408
logistic__uncalibrated,0.14,0.2935290193462308,0.20229885057471264,0.23952095808383234,0.8565048383094864,10356,1735,1059,440,2175,0.1600441501103753,1379,0.14133442656554268
logistic__uncalibrated,0.15,0.2675116744496331,0.21996708721886998,0.24142083082480434,0.8823918617153255,10669,1422,1098,401,1823,0.13414275202354672,1144,0.11724915445321307
logistic__uncalibrated,0.16,0.23815877251501,0.2265228426395939,0.23219512195121952,0.8991812091638409,10872,1219,1142,357,1576,0.11596762325239146,1007,0.10320795326432305
logistic__uncalibrated,0.17,0.2134756504336224,0.237741456166419,0.22495606326889278,0.9151434951616905,11065,1026,1179,320,1346,0.09904341427520236,864,0.08855180895767141
logistic__uncalibrated,0.18,0.1934623082054703,0.2523933855526545,0.2190332326283988,0.9289554213878091,11232,859,1209,290,1149,0.08454746136865342,741,0.07594547504355847
logistic__uncalibrated,0.19,0.17745163442294865,0.26310583580613256,0.21195219123505976,0.9383839219253991,11346,745,1233,266,1011,0.07439293598233995,647,0.06631136619862663
logistic__uncalibrated,0.2,0.16210807204803201,0.2682119205298013,0.2020790020790021,0.9451658258208585,11428,663,1256,243,906,0.06666666666666667,588,0.06026442554063749
logistic__uncalibrated,0.21,0.15076717811874582,0.28607594936708863,0.19746614242027086,0.9533537341824497,11527,564,1273,226,790,0.058130978660779986,513,0.0525776365686174
logistic__uncalibrated,0.22,0.13542361574382922,0.29124820659971307,0.1848816029143898,0.9591431643371102,11597,494,1296,203,697,0.05128771155261221,453,0.046428205391001336
logistic__uncalibrated,0.23,0.12341561040693796,0.297427652733119,0.17444601603017446,0.9638574146059052,11654,437,1314,185,622,0.04576894775570272,400,0.040996207850773805
logistic__uncalibrated,0.24,0.11074049366244162,0.302367941712204,0.162109375,0.9683235464395005,11708,383,1333,166,549,0.04039735099337748,349,0.035769191349800146
logistic__uncalibrated,0.25,0.1000667111407605,0.3112033195020747,0.1514386673397274,0.9725415598378959,11759,332,1349,150,482,0.035467255334805006,298,0.030542174848826483
logistic__uncalibrated,0.26,0.0847231487658439,0.31203931203931207,0.13326337880377753,0.976842279381358,11811,280,1372,127,407,0.02994849153789551,240,0.024597724710464283
logistic__uncalibrated,0.27,0.07471647765176785,0.3227665706051873,0.12134344528710726,0.980564055909354,11856,235,1387,112,347,0.025533480500367918,201,0.020600594445013835
logistic__uncalibrated,0.28,0.06737825216811208,0.3300653594771242,0.11191135734072022,0.9830452402613514,11886,205,1398,101,306,0.022516556291390728,178,0.018243312493594344
logistic__uncalibrated,0.29,0.06004002668445631,0.33210332103321033,0.1016949152542373,0.9850301877429493,11910,181,1409,90,271,0.019941133186166297,153,0.015681049502920978
logistic__uncalibrated,0.3,0.05670446964643095,0.3359683794466403,0.09703196347031963,0.9861053676288148,11923,168,1414,85,253,0.01861662987490802,142,0.0145536537870247
logistic__uncalibrated,0.31,0.050700466977985324,0.33480176211453744,0.0880648899188876,0.9875113720949467,11940,151,1423,76,227,0.01670345842531273,126,0.012913805472993749
logistic__uncalibrated,0.32,0.04536357571714476,0.34517766497461927,0.08018867924528301,0.9893309072864114,11962,129,1431,68,197,0.014495952906548933,106,0.010863995080455057
logistic__uncalibrated,0.33,0.04136090727151434,0.34065934065934067,0.07376561570493753,0.9900752625920106,11971,120,1437,62,182,0.013392200147167035,96,0.009839089884185713
logistic__uncalibrated,0.34,0.03669112741827885,0.3353658536585366,0.0661455201443175,0.990985030187743,11982,109,1444,55,164,0.012067696835908756,84,0.008609203648662498
logistic__uncalibrated,0.35,0.030020013342228154,0.3237410071942446,0.054945054945054944,0.9922256223637417,11997,94,1454,45,139,0.010228108903605593,73,0.007481807932766219
logistic__uncalibrated,0.36,0.0266844563042028,0.31007751937984496,0.04914004914004914,0.9926391530890745,12002,89,1459,40,129,0.009492273730684326,68,0.006969355334631546
logistic__uncalibrated,0.37,0.02334889926617745,0.29411764705882354,0.04326328800988875,0.9930526838144074,12007,84,1464,35,119,0.008756438557763062,63,0.006456902736496874
logistic__uncalibrated,0.38,0.02134756504336224,0.2962962962962963,0.03982576228998133,0.99371433297494,12015,76,1467,32,108,0.007947019867549669,57,0.005841959618735267
logistic__uncalibrated,0.39,0.02068045363575717,0.32978723404255317,0.0389202762084118,0.9947895128608055,12028,63,1468,31,94,0.006916850625459897,48,0.0049195449420928565
logistic__uncalibrated,0.4,0.0200133422281521,0.3448275862068966,0.03783102143757881,0.995285749731205,12034,57,1469,30,87,0.0064017660044150115,44,0.004509582863585118
logistic__uncalibrated,0.41,0.0200133422281521,0.35714285714285715,0.03790271636133923,0.9955338681664048,12037,54,1469,30,84,0.006181015452538631,42,0.004304601824331249
logistic__uncalibrated,0.42,0.019346230820547032,0.3717948717948718,0.03677869372225745,0.9959473988917377,12042,49,1470,29,78,0.005739514348785872,39,0.003997130265450446
logistic__uncalibrated,0.43,0.01734489659773182,0.36619718309859156,0.033121019108280254,0.996278223472004,12046,45,1473,26,71,0.0052244297277409864,35,0.003587168186942708
logistic__uncalibrated,0.44,0.016010673782521682,0.36923076923076925,0.030690537084398978,0.9966090480522702,12050,41,1475,24,65,0.004782928623988227,31,0.00317720610843497
logistic__uncalibrated,0.45,0.016010673782521682,0.4,0.030788967286722257,0.9970225787776031,12055,36,1475,24,60,0.004415011037527594,29,0.0029722250691811007
logistic__uncalibrated,0.46,0.01200800533689126,0.35294117647058826,0.023225806451612905,0.9972706972128029,12058,33,1481,18,51,0.0037527593818984547,23,0.0023572819514194937
logistic__uncalibrated,0.47,0.01067378252168112,0.35555555555555557,0.02072538860103627,0.9976015217930693,12062,29,1483,16,45,0.0033112582781456954,19,0.0019473198729117556
logistic__uncalibrated,0.48,0.009339559706470981,0.3783783783783784,0.018229166666666668,0.9980977586634687,12068,23,1485,14,37,0.002722590139808683,15,0.0015373577944040177
logistic__uncalibrated,0.49,0.00733822548365577,0.3235294117647059,0.014350945857795172,0.9980977586634687,12068,23,1488,11,34,0.002501839587932303,15,0.0015373577944040177
logistic__uncalibrated,0.5,0.0066711140760507,0.3225806451612903,0.013071895424836602,0.9982631709536018,12070,21,1489,10,31,0.0022810890360559235,14,0.001434867274777083
logistic__uncalibrated,0.51,0.00600400266844563,0.3103448275862069,0.011780104712041885,0.9983458770986684,12071,20,1490,9,29,0.0021339220014716703,14,0.001434867274777083
logistic__uncalibrated,0.52,0.00600400266844563,0.34615384615384615,0.01180327868852459,0.9985939955338682,12074,17,1490,9,26,0.0019131714495952907,14,0.001434867274777083
logistic__uncalibrated,0.53,0.00533689126084056,0.3333333333333333,0.010505581089954037,0.9986767016789347,12075,16,1491,8,24,0.0017660044150110375,14,0.001434867274777083
logistic__uncalibrated,0.54,0.00533689126084056,0.34782608695652173,0.010512483574244415,0.9987594078240013,12076,15,1491,8,23,0.001692420897718911,13,0.0013323767551501487
logistic__uncalibrated,0.55,0.004669779853235491,0.35,0.009216589861751152,0.9989248201141345,12078,13,1492,7,20,0.0014716703458425313,13,0.0013323767551501487
logistic__uncalibrated,0.56,0.004669779853235491,0.3888888888888889,0.00922874093605801,0.9990902324042676,12080,11,1492,7,18,0.0013245033112582781,12,0.0012298862355232141
logistic__uncalibrated,0.57,0.004669779853235491,0.3888888888888889,0.00922874093605801,0.9990902324042676,12080,11,1492,7,18,0.0013245033112582781,12,0.0012298862355232141
logistic__uncalibrated,0.58,0.004669779853235491,0.4375,0.009240924092409241,0.9992556446944008,12082,9,1492,7,16,0.001177336276674025,10,0.0010249051962693452
