family,configuration,trial,fold,average_precision,roc_auc,recall,precision,f1,specificity,brier,tn,fp,fn,tp,threshold,mean_probability,prevalence,predicted_positive_fraction,fit_encounters,holdout_encounters,encoded_features,duration_seconds
logistic,raw,0,0,0.2095808663526193,0.6434658384984314,0.016973125884016973,0.5714285714285714,0.03296703296703297,0.9984069386671387,0.09516919274095188,11281,18,1390,24,0.5,0.10991157717801779,0.1112247305907339,0.0033037048690316997,50850,12713,76,0.37025941599858925
logistic,raw,0,1,0.20963160188340643,0.6634532203694536,0.016973125884016973,0.4,0.032564450474898234,0.9968135953266065,0.09531746214517971,11262,36,1390,24,0.5,0.11209460805590757,0.11123348017621146,0.004719949653870359,50851,12712,76,0.3632881660014391
logistic,raw,0,2,0.22646639740717606,0.6667225948681335,0.021231422505307854,0.6,0.04101161995898838,0.9982300884955753,0.09418445071632849,11280,20,1383,30,0.5,0.11019807985449331,0.11114607095099505,0.003932981986942499,50850,12713,77,0.3409127500053728
logistic,raw,0,3,0.21034684572906281,0.659147071429766,0.019815994338287332,0.4057971014492754,0.037786774628879895,0.9963713602973715,0.09527797205483281,11258,41,1385,28,0.5,0.1111914931645943,0.11115481434864695,0.005427942101950913,50851,12712,76,0.3431947909994051
logistic,raw,0,4,0.20493095936758318,0.6561605381708185,0.02545968882602546,0.46153846153846156,0.04825737265415549,0.9962828568899903,0.0956373146098364,11257,42,1378,36,0.5,0.11263898890827301,0.1112247305907339,0.0061354518996303,50850,12713,76,0.356071875008638
logistic,raw,1,0,0.2110056214429166,0.6462896229567072,0.016973125884016973,0.6,0.033012379642365884,0.9985839454819011,0.09507383181940701,11283,16,1390,24,0.5,0.10992048289275663,0.1112247305907339,0.003146385589554,50850,12713,76,0.359203083004104
logistic,raw,1,1,0.21026470132879388,0.6643632461266005,0.01768033946251768,0.43859649122807015,0.03399048266485384,0.9971676402903169,0.09526664830375844,11266,32,1389,25,0.5,0.11202885094320465,0.11123348017621146,0.004483952171176841,50851,12712,76,0.3493971249990864
logistic,raw,1,2,0.22509270469224718,0.6656415459481803,0.01840056617126681,0.5909090909090909,0.03568977350720659,0.9984070796460177,0.09427973058344796,11282,18,1387,26,0.5,0.11011524156961806,0.11114607095099505,0.0034610241485093997,50850,12713,77,0.3577297500014538
logistic,raw,1,3,0.2106194757268675,0.6612620084811696,0.01840056617126681,0.4,0.035182679296346414,0.9965483671121338,0.09524326708843533,11260,39,1387,26,0.5,0.11115605705124582,0.11115481434864695,0.005113278791692889,50851,12712,76,0.3564385839999886
logistic,raw,1,4,0.20518619012302824,0.657797913798182,0.024045261669024046,0.4533333333333333,0.04566823371390195,0.9963713602973715,0.09560682385539523,11258,41,1380,34,0.5,0.11259403961599579,0.1112247305907339,0.0058994729804137495,50850,12713,76,0.37964687500789296
