feature,category,train_count,encoded_as
age,[70-80),16056,[70-80)
age,[60-70),14081,[60-70)
age,[50-60),10805,[50-60)
age,[80-90),10689,[80-90)
age,[40-50),6094,[40-50)
age,[30-40),2486,[30-40)
age,[90-100),1680,[90-100)
age,[20-30),1121,[20-30)
age,[10-20),457,[10-20)
age,[0-10),94,[0-10)
gender,Female,34340,Female
gender,Male,29220,Male
gender,Unknown,3,Unknown
admission_type_id,1,33798,1
admission_type_id,3,12027,3
admission_type_id,2,11761,2
admission_type_id,Unknown,5957,Unknown
admission_type_id,7,13,Other
admission_type_id,4,7,Other
admission_source_id,7,36058,7
admission_source_id,1,18893,1
admission_source_id,Unknown,4157,Unknown
admission_source_id,4,1761,4
admission_source_id,6,1478,6
admission_source_id,2,651,2
admission_source_id,5,471,5
admission_source_id,3,67,Other
admission_source_id,8,9,Other
admission_source_id,22,7,Other
admission_source_id,10,6,Other
admission_source_id,14,2,Other
admission_source_id,11,1,Other
admission_source_id,25,1,Other
admission_source_id,13,1,Other
discharge_disposition_id,1,42185,1
discharge_disposition_id,3,9805,3
discharge_disposition_id,6,8998,6
discharge_disposition_id,22,1420,22
discharge_disposition_id,4,600,4
discharge_disposition_id,7,424,7
discharge_disposition_id,8,74,Other
discharge_disposition_id,24,35,Other
discharge_disposition_id,17,12,Other
discharge_disposition_id,16,10,Other
medical_specialty,Unknown,30688,Unknown
medical_specialty,InternalMedicine,9403,InternalMedicine
medical_specialty,Emergency/Trauma,4965,Emergency/Trauma
medical_specialty,Family/GeneralPractice,4441,Family/GeneralPractice
medical_specialty,Cardiology,3479,Cardiology
medical_specialty,Surgery-General,2040,Surgery-General
medical_specialty,Nephrology,976,Nephrology
medical_specialty,Orthopedics,812,Orthopedics
medical_specialty,Radiologist,762,Radiologist
medical_specialty,Orthopedics-Reconstructive,728,Orthopedics-Reconstructive
medical_specialty,Pulmonology,548,Pulmonology
medical_specialty,Psychiatry,537,Psychiatry
medical_specialty,Urology,454,Urology
medical_specialty,Surgery-Cardiovascular/Thoracic,424,Surgery-Cardiovascular/Thoracic
medical_specialty,ObstetricsandGynecology,417,ObstetricsandGynecology
medical_specialty,Surgery-Vascular,364,Surgery-Vascular
medical_specialty,Gastroenterology,353,Gastroenterology
medical_specialty,Surgery-Neuro,276,Surgery-Neuro
medical_specialty,Oncology,238,Oncology
medical_specialty,PhysicalMedicineandRehabilitation,174,PhysicalMedicineandRehabilitation
medical_specialty,Pediatrics,152,Pediatrics
medical_specialty,Neurology,133,Neurology
medical_specialty,Hematology/Oncology,121,Hematology/Oncology
medical_specialty,Pediatrics-Endocrinology,99,Other
medical_specialty,Otolaryngology,80,Other
medical_specialty,Endocrinology,79,Other
medical_specialty,Surgery-Thoracic,77,Other
medical_specialty,Podiatry,74,Other
medical_specialty,Surgery-Cardiovascular,72,Other
medical_specialty,Pediatrics-CriticalCare,69,Other
medical_specialty,Hematology,59,Other
medical_specialty,Psychology,56,Other
medical_specialty,Gynecology,39,Other
medical_specialty,Hospitalist,38,Other
medical_specialty,Radiology,30,Other
medical_specialty,Surgeon,28,Other
medical_specialty,Ophthalmology,27,Other
medical_specialty,Surgery-Plastic,25,Other
medical_specialty,SurgicalSpecialty,24,Other
medical_specialty,InfectiousDiseases,21,Other
medical_specialty,Osteopath,20,Other
medical_specialty,Obstetrics,14,Other
medical_specialty,Obsterics&Gynecology-GynecologicOnco,12,Other
medical_specialty,Anesthesiology-Pediatric,12,Other
medical_specialty,Pediatrics-Pulmonology,11,Other
medical_specialty,Rheumatology,10,Other
medical_specialty,PhysicianNotFound,9,Other
medical_specialty,Pathology,9,Other
medical_specialty,Anesthesiology,8,Other
medical_specialty,Surgery-Maxillofacial,8,Other
medical_specialty,Pediatrics-Neurology,8,Other
medical_specialty,OutreachServices,7,Other
medical_specialty,Surgery-Pediatric,7,Other
medical_specialty,Surgery-Colon&Rectal,6,Other
medical_specialty,Psychiatry-Child/Adolescent,5,Other
medical_specialty,Cardiology-Pediatric,5,Other
medical_specialty,DCPTEAM,5,Other
medical_specialty,AllergyandImmunology,4,Other
medical_specialty,Endocrinology-Metabolism,4,Other
medical_specialty,Pediatrics-AllergyandImmunology,3,Other
medical_specialty,Pediatrics-Hematology-Oncology,2,Other
medical_specialty,Resident,2,Other
medical_specialty,Pediatrics-EmergencyMedicine,2,Other
medical_specialty,Dermatology,1,Other
medical_specialty,SportsMedicine,1,Other
medical_specialty,Speech,1,Other
medical_specialty,Perinatology,1,Other
medical_specialty,Neurophysiology,1,Other
medical_specialty,Pediatrics-InfectiousDiseases,1,Other
medical_specialty,Dentistry,1,Other
medical_specialty,Proctology,1,Other
